	Course	Section	Faculty	Time	Room	Seats Available	
['1162.', 'CSE327', '7', 'SLB', 'MW', '11:30', 'AM', '-', '12:30', 'PM', 'SAC306', '0']
['1163.', 'CSE327', '8', 'MdSH', 'RA', '01:50', 'PM', '-', '02:50', 'PM', 'SAC206', '0']
['1164.', 'CSE327', '9', 'RHK1', 'RA', '11:30', 'AM', '-', '12:30', 'PM', 'SAC207', '0']
['1165.', 'CSE327', '10', 'MdSH', 'RA', '03:00', 'PM', '-', '04:00', 'PM', 'NAC508', '0']
['1166.', 'CSE327', '11', 'SfT', 'RA', '12:40', 'PM', '-', '01:40', 'PM', 'NAC621', '0']
['1167.', 'CSE331/EEE332/EEE453/ETE332', '1', 'DMH', 'ST', '09:10', 'AM', '-', '10:10', 'AM', 'SAC206', '0']
['1168.', 'CSE331/EEE332/EEE453/ETE332', '2', 'DMH', 'ST', '10:20', 'AM', '-', '11:20', 'AM', 'SAC204', '0']
['1169.', 'CSE331/EEE332/EEE453/ETE332', '3', 'DMH', 'MW', '09:10', 'AM', '-', '10:10', 'AM', 'SAC206', '0']
['1170.', 'CSE331/EEE332/EEE453/ETE332', '4', 'DMH', 'MW', '10:20', 'AM', '-', '11:20', 'AM', 'SAC206', '0']
['1171.', 'CSE331/EEE332/EEE453/ETE332', '5', 'SkH1', 'RA', '09:10', 'AM', '-', '10:10', 'AM', 'SAC511', '1']
['1172.', 'CSE331/EEE332/EEE453/ETE332', '6', 'SkH1', 'RA', '10:20', 'AM', '-', '11:20', 'AM', 'NAC621', '0']
['1173.', 'CSE331/EEE332/EEE453/ETE332', '7', 'MUA3', 'RA', '10:20', 'AM', '-', '11:20', 'AM', 'NAC993', '0']
['1174.', 'CSE331/EEE332/EEE453/ETE332', '8', 'SMH2', 'RA', '12:40', 'PM', '-', '01:40', 'PM', 'SAC207', '1']
['1175.', 'CSE331/EEE332/EEE453/ETE332', '9', 'SMH2', 'RA', '01:50', 'PM', '-', '02:50', 'PM', 'SAC205', '2']
['1176.', 'CSE331/EEE332/EEE453/ETE332', '10', 'SkH1', 'RA', '11:30', 'AM', '-', '12:30', 'PM', 'SAC802', '0']
['1177.', 'CSE331/EEE332/EEE453/ETE332', '11', 'DMM', 'RA', '12:40', 'PM', '-', '01:40', 'PM', 'NAC992', '0']
['1178.', 'CSE331/EEE332/EEE453/ETE332', '12', 'MUA3', 'RA', '11:30', 'AM', '-', '12:30', 'PM', 'SAC801A', '0']
['1179.', 'CSE331L/EEE332L/EEE453L/ETE332L', '1', 'DMH', 'S', '03:00', 'PM', '-', '05:10', 'PM', 'LIB609', '0']
['1180.', 'CSE331L/EEE332L/EEE453L/ETE332L', '2', 'DMH', 'R', '03:00', 'PM', '-', '05:10', 'PM', 'LIB609', '0']
['1181.', 'CSE331L/EEE332L/EEE453L/ETE332L', '3', 'DMH', 'A', '03:00', 'PM', '-', '05:10', 'PM', 'LIB609', '0']
['1182.', 'CSE331L/EEE332L/EEE453L/ETE332L', '4', 'DMH', 'T', '03:00', 'PM', '-', '05:10', 'PM', 'LIB609', '0']
['1183.', 'CSE331L/EEE332L/EEE453L/ETE332L', '5', 'SkH1', 'M', '12:40', 'PM', '-', '02:50', 'PM', 'LIB609', '1']
['1184.', 'CSE331L/EEE332L/EEE453L/ETE332L', '6', 'SkH1', 'W', '03:00', 'PM', '-', '05:10', 'PM', 'LIB609', '0']
['1185.', 'CSE331L/EEE332L/EEE453L/ETE332L', '7', 'MUA3', 'M', '08:00', 'AM', '-', '10:10', 'AM', 'LIB609', '0']
['1186.', 'CSE331L/EEE332L/EEE453L/ETE332L', '8', 'SMH2', 'W', '10:20', 'AM', '-', '12:30', 'PM', 'LIB609', '2']
['1187.', 'CSE331L/EEE332L/EEE453L/ETE332L', '9', 'SMH2', 'M', '03:00', 'PM', '-', '05:10', 'PM', 'LIB609', '2']
['1188.', 'CSE331L/EEE332L/EEE453L/ETE332L', '10', 'SkH1', 'S', '08:00', 'AM', '-', '10:10', 'AM', 'LIB609', '0']
['1189.', 'CSE331L/EEE332L/EEE453L/ETE332L', '11', 'DMM', 'M', '10:20', 'AM', '-', '12:30', 'PM', 'LIB611', '0']
['1190.', 'CSE331L/EEE332L/EEE453L/ETE332L', '12', 'MUA3', 'W', '08:00', 'AM', '-', '10:10', 'AM', 'LIB609', '0']
['1191.', 'CSE332/EEE336', '1', 'TnR', 'ST', '11:30', 'AM', '-', '12:30', 'PM', 'SAC205', '1']
['1192.', 'CSE332/EEE336', '2', 'MAQm', 'ST', '01:50', 'PM', '-', '02:50', 'PM', 'SAC309', '0']
['1193.', 'CSE332/EEE336', '3', 'MAQm', 'ST', '12:40', 'PM', '-', '01:40', 'PM', 'SAC309', '0']
['1194.', 'CSE332/EEE336', '4', 'Sfm', 'RA', '08:00', 'AM', '-', '09:00', 'AM', 'SAC308', '0']
['1195.', 'CSE332/EEE336', '5', 'Sfm', 'RA', '09:10', 'AM', '-', '10:10', 'AM', 'SAC311', '0']
['1196.', 'CSE332/EEE336', '6', 'MUU', 'RA', '11:30', 'AM', '-', '12:30', 'PM', 'NAC991', '0']
['1197.', 'CSE332/EEE336', '7', 'MUU', 'RA', '12:40', 'PM', '-', '01:40', 'PM', 'SAC308', '0']
['1198.', 'CSE332/EEE336', '8', 'Sfm', 'RA', '10:20', 'AM', '-', '11:20', 'AM', 'SAC206', '0']
['1199.', 'CSE332/EEE336', '9', 'TnR', 'MW', '11:30', 'AM', '-', '12:30', 'PM', 'SAC205', '0']
['1200.', 'CSE332/EEE336', '10', 'SMH2', 'RA', '11:30', 'AM', '-', '12:30', 'PM', 'SAC309', '0']
['1201.', 'CSE332/EEE336', '11', 'Sfm', 'RA', '12:40', 'PM', '-', '01:40', 'PM', 'NAC993', '0']
['1202.', 'CSE332L/EEE336L', '1', 'TnR', 'T', '03:00', 'PM', '-', '05:10', 'PM', 'SAC507', '1']
['1203.', 'CSE332L/EEE336L', '2', 'MAQm', 'T', '03:00', 'PM', '-', '05:10', 'PM', 'SAC504', '0']
['1204.', 'CSE332L/EEE336L', '3', 'MAQm', 'W', '08:00', 'AM', '-', '10:10', 'AM', 'SAC507', '0']
['1205.', 'CSE332L/EEE336L', '4', 'Sfm', 'M', '12:40', 'PM', '-', '02:50', 'PM', 'SAC507', '0']
['1206.', 'CSE332L/EEE336L', '5', 'Sfm', 'W', '12:40', 'PM', '-', '02:50', 'PM', 'SAC507', '0']
['1207.', 'CSE332L/EEE336L', '6', 'MUU', 'T', '10:20', 'AM', '-', '12:30', 'PM', 'SAC801', '0']
['1208.', 'CSE332L/EEE336L', '7', 'MUU', 'M', '10:20', 'AM', '-', '12:30', 'PM', 'SAC801', '0']
['1209.', 'CSE332L/EEE336L', '8', 'Sfm', 'T', '12:40', 'PM', '-', '02:50', 'PM', 'SAC507', '0']
['1210.', 'CSE332L/EEE336L', '9', 'TnR', 'W', '03:00', 'PM', '-', '05:10', 'PM', 'SAC507', '0']
['1211.', 'CSE332L/EEE336L', '10', 'SMH2', 'R', '03:00', 'PM', '-', '05:10', 'PM', 'SAC507', '0']
['1212.', 'CSE332L/EEE336L', '11', 'Sfm', 'S', '12:40', 'PM', '-', '02:50', 'PM', 'SAC507', '1']
['1213.', 'CSE338/CSE438/EEE331/ETE331', '1', 'SAM3', 'RA', '12:40', 'PM', '-', '01:40', 'PM', 'SAC311', '0']
['1214.', 'CSE338/CSE438/EEE331/ETE331', '2', 'SAM3', 'RA', '01:50', 'PM', '-', '02:50', 'PM', 'SAC311', '0']
['1215.', 'CSE338/CSE438/EEE331/ETE331', '3', 'SAM3', 'RA', '03:00', 'PM', '-', '04:00', 'PM', 'SAC311', '0']
['1216.', 'CSE338L/CSE438L/EEE331L/ETE331L', '1', 'SAM3', 'R', '08:00', 'AM', '-', '10:10', 'AM', 'LIB609', '0']
['1217.', 'CSE338L/CSE438L/EEE331L/ETE331L', '2', 'SAM3', 'A', '08:00', 'AM', '-', '10:10', 'AM', 'LIB609', '0']
['1218.', 'CSE338L/CSE438L/EEE331L/ETE331L', '3', 'SAM3', 'R', '10:20', 'AM', '-', '12:30', 'PM', 'LIB609', '0']
['1219.', 'CSE373', '1', 'SfM1', 'ST', '10:20', 'AM', '-', '11:20', 'AM', 'SAC308', '0']
['1220.', 'CSE373', '2', 'SfM1', 'MW', '11:30', 'AM', '-', '12:30', 'PM', 'SAC310', '0']
['1221.', 'CSE373', '3', 'MLE', 'MW', '03:00', 'PM', '-', '04:00', 'PM', 'SAC308', '0']
['1222.', 'CSE373', '4', 'TIM', 'ST', '08:00', 'AM', '-', '09:00', 'AM', 'SAC311', '0']
['1223.', 'CSE373', '5', 'TIM', 'ST', '10:20', 'AM', '-', '11:20', 'AM', 'NAC991', '0']
['1224.', 'CSE373', '6', 'EKD', 'ST', '08:00', 'AM', '-', '09:00', 'AM', 'SAC306', '0']
['1225.', 'CSE373', '7', 'EKD', 'ST', '09:10', 'AM', '-', '10:10', 'AM', 'SAC210', '0']
['1226.', 'CSE373', '8', 'EKD', 'ST', '11:30', 'AM', '-', '12:30', 'PM', 'SAC306', '0']
['1227.', 'CSE373', '9', 'EKD', 'ST', '12:40', 'PM', '-', '01:40', 'PM', 'SAC802', '0']
['1228.', 'CSE373', '11', 'NdA', 'RA', '10:20', 'AM', '-', '11:20', 'AM', 'NAC503', '0']
['1229.', 'CSE373', '12', 'MLE', 'MW', '01:50', 'PM', '-', '02:50', 'PM', 'SAC210', '0']
['1230.', 'CSE413/EEE413/ETE419', '1', 'IqR', 'MW', '10:20', 'AM', '-', '11:20', 'AM', 'SAC511', '0']
['1231.', 'CSE413L/EEE413L/ETE419L', '1', 'IqR', 'W', '03:00', 'PM', '-', '05:10', 'PM', 'LIB611', '0']
['1232.', 'CSE435/EEE411/ETE412', '1', 'IqR', 'ST', '10:20', 'AM', '-', '11:20', 'AM', 'SAC513', '1']
['1233.', 'CSE435/EEE411/ETE412', '2', 'IqR', 'ST', '11:30', 'AM', '-', '12:30', 'PM', 'SAC513', '1']
['1234.', 'CSE435L/EEE411L/ETE412L', '1', 'IqR', 'A', '08:00', 'AM', '-', '10:10', 'AM', 'LIB611', '1']
['1235.', 'CSE435L/EEE411L/ETE412L', '2', 'IqR', 'A', '10:20', 'AM', '-', '12:30', 'PM', 'LIB611', '1']
['1236.', 'CSE440/EEE333/ETE333', '1', 'MdSH', 'RA', '11:30', 'AM', '-', '12:30', 'PM', 'SAC204', '0']
['1237.', 'CSE440/EEE333/ETE333', '2', 'MdSH', 'RA', '12:40', 'PM', '-', '01:40', 'PM', 'SAC206', '0']
['1238.', 'CSE440/EEE333/ETE333', '3', 'AlK1', 'ST', '08:00', 'AM', '-', '09:00', 'AM', 'SAC204', '0']
['1239.', 'CSE440/EEE333/ETE333', '4', 'AlK1', 'ST', '12:40', 'PM', '-', '01:40', 'PM', 'SAC207', '0']
['1240.', 'CSE440/EEE333/ETE333', '5', 'AlK1', 'ST', '11:30', 'AM', '-', '12:30', 'PM', 'SAC312', '0']
['1241.', 'CSE440/EEE333/ETE333', '6', 'FSI', 'RA', '08:00', 'AM', '-', '09:00', 'AM', 'SAC207', '0']
['1242.', 'CSE440/EEE333/ETE333', '7', 'FSI', 'RA', '10:20', 'AM', '-', '11:20', 'AM', 'SAC304', '0']
['1243.', 'CSE445', '1', 'SfM1', 'MW', '09:10', 'AM', '-', '10:10', 'AM', 'SAC309', '0']
['1244.', 'CSE445', '2', 'SfM1', 'MW', '10:20', 'AM', '-', '11:20', 'AM', 'SAC309', '0']
['1245.', 'CSE445', '3', 'Rtk', 'MW', '03:00', 'PM', '-', '04:00', 'PM', 'SAC307', '0']
['1246.', 'CSE445', '4', 'ITN', 'MW', '03:00', 'PM', '-', '04:00', 'PM', 'SAC513', '2']
['1247.', 'CSE445', '5', 'BMH', 'RA', '10:20', 'AM', '-', '11:20', 'AM', 'NAC992', '0']
['1248.', 'CSE445', '6', 'BMH', 'RA', '11:30', 'AM', '-', '12:30', 'PM', 'NAC992', '0']
['1249.', 'CSE445', '7', 'SLB', 'MW', '08:00', 'AM', '-', '09:00', 'AM', 'SAC309', '0']
['1250.', 'CSE445', '8', 'SfM1', 'MW', '01:50', 'PM', '-', '02:50', 'PM', 'SAC310', '0']
['1251.', 'CSE445', '9', 'AlK1', 'ST', '09:10', 'AM', '-', '10:10', 'AM', 'NAC619', '0']
['1252.', 'CSE465', '1', 'NbM', 'MW', '11:30', 'AM', '-', '12:30', 'PM', 'SAC309', '2']
['1253.', 'CSE465', '2', 'NbM', 'MW', '01:50', 'PM', '-', '02:50', 'PM', 'SAC308', '7']
['1254.', 'CSE465', '3', 'AzK', 'RA', '09:10', 'AM', '-', '10:10', 'AM', 'SAC310', '0']
['1255.', 'CSE465', '4', 'AzK', 'RA', '10:20', 'AM', '-', '11:20', 'AM', 'SAC311', '0']
['1256.', 'CSE467/ETE473', '1', 'SfR1', 'ST', '03:00', 'PM', '-', '04:00', 'PM', 'SAC307', '12']
['1257.', 'CSE482/ETE334', '1', 'NqH', 'ST', '08:00', 'AM', '-', '09:00', 'AM', 'SAC513', '0']
['1258.', 'CSE482/ETE334', '2', 'NqH', 'ST', '11:30', 'AM', '-', '12:30', 'PM', 'SAC204', '0']
['1259.', 'CSE482/ETE334', '3', 'NqH', 'ST', '09:10', 'AM', '-', '10:10', 'AM', 'SAC307', '0']
['1260.', 'CSE482L/ETE334L', '1', 'NqH', 'S', '12:40', 'PM', '-', '02:50', 'PM', 'LIB609', '0']
['1261.', 'CSE482L/ETE334L', '2', 'NqH', 'T', '12:40', 'PM', '-', '02:50', 'PM', 'LIB609', '0']
['1262.', 'CSE482L/ETE334L', '3', 'NqH', 'W', '12:40', 'PM', '-', '02:50', 'PM', 'LIB609', '0']
['1263.', 'CSE495', '1', 'AzK', 'RA', '01:50', 'PM', '-', '02:50', 'PM', 'SAC307', '0']
['1264.', 'CSE498R', '1', 'TBA', 'TBA', 'TBA', '0']
['1265.', 'CSE498R', '2', 'TBA', 'TBA', 'TBA', '0']
['1266.', 'CSE498R', '3', 'TBA', 'TBA', 'TBA', '0']
['1267.', 'CSE498R', '4', 'TBA', 'TBA', 'TBA', '0']
['1268.', 'CSE498R', '5', 'TBA', 'TBA', 'TBA', '0']
['1269.', 'CSE498R', '6', 'TBA', 'TBA', 'TBA', '0']
['1270.', 'CSE498R', '7', 'TBA', 'TBA', 'TBA', '0']
['1271.', 'CSE498R', '8', 'TBA', 'TBA', 'TBA', '0']
['1272.', 'CSE498R', '9', 'TBA', 'TBA', 'TBA', '7']
['1273.', 'CSE498R', '10', 'TBA', 'TBA', 'TBA', '0']
['1274.', 'CSE498R', '11', 'TBa', 'TBA', 'TBA', '34']
['1275.', 'CSE498R', '12', 'TBA', 'TBA', 'TBA', '32']
['1276.', 'CSE498R', '13', 'TBA', 'TBA', 'TBA', '26']
['1277.', 'CSE498R', '14', 'TBA', 'TBA', 'TBA', '33']
['1278.', 'CSE498R', '15', 'TBA', 'TBA', 'TBA', '34']
['1279.', 'CSE499A/EEE499A/ETE499A', '1', 'Szz', 'S', '11:30', 'AM', '-', '12:30', 'PM', 'SAC502', '1']
['1280.', 'CSE499A/EEE499A/ETE499A', '2', 'Aqu', 'S', '03:00', 'PM', '-', '04:00', 'PM', 'SAC502', '0']
['1281.', 'CSE499A/EEE499A/ETE499A', '3', 'KMM', 'M', '09:10', 'AM', '-', '10:10', 'AM', 'SAC502', '1']
['1282.', 'CSE499A/EEE499A/ETE499A', '4', 'KMM', 'T', '08:00', 'AM', '-', '09:00', 'AM', 'SAC502', '1']
['1283.', 'CSE499A/EEE499A/ETE499A', '5', 'KMM', 'T', '09:10', 'AM', '-', '10:10', 'AM', 'SAC502', '0']
['1284.', 'CSE499A/EEE499A/ETE499A', '6', 'Mdy', 'M', '04:10', 'PM', '-', '05:10', 'PM', 'SAC503', '0']
['1285.', 'CSE499A/EEE499A/ETE499A', '7', 'NbM', 'S', '11:30', 'AM', '-', '12:30', 'PM', 'SAC503', '0']
['1286.', 'CSE499A/EEE499A/ETE499A', '8', 'ITN', 'T', '11:30', 'AM', '-', '12:30', 'PM', 'SAC503', '1']
['1287.', 'CSE499A/EEE499A/ETE499A', '9', 'ITN', 'T', '12:40', 'PM', '-', '01:40', 'PM', 'LIB608', '3']
['1288.', 'CSE499A/EEE499A/ETE499A', '10', 'SnS1', 'W', '10:20', 'AM', '-', '11:20', 'AM', 'SAC503', '0']
['1289.', 'CSE499A/EEE499A/ETE499A', '11', 'SnS1', 'W', '11:30', 'AM', '-', '12:30', 'PM', 'LIB610', '0']
['1290.', 'CSE499A/EEE499A/ETE499A', '12', 'AzK', 'M', '04:10', 'PM', '-', '05:10', 'PM', 'LIB605', '0']
['1291.', 'CSE499A/EEE499A/ETE499A', '14', 'Rtk', 'S', '11:30', 'AM', '-', '12:30', 'PM', 'LIB608', '0']
['1292.', 'CSE499A/EEE499A/ETE499A', '15', 'NaNr', 'M', '10:20', 'AM', '-', '11:20', 'AM', 'LIB609', '0']
['1293.', 'CSE499A/EEE499A/ETE499A', '16', 'HSM', 'W', '03:00', 'PM', '-', '04:00', 'PM', 'SAC503', '0']
['1294.', 'CSE499A/EEE499A/ETE499A', '17', 'HSM', 'W', '04:10', 'PM', '-', '05:10', 'PM', 'SAC503', '0']
['1295.', 'CSE499A/EEE499A/ETE499A', '18', 'MAQm', 'M', '03:00', 'PM', '-', '04:00', 'PM', 'SAC503', '0']
['1296.', 'CSE499A/EEE499A/ETE499A', '19', 'KAS', 'R', '09:10', 'AM', '-', '10:10', 'AM', 'SAC502', '0']
['1297.', 'CSE499A/EEE499A/ETE499A', '20', 'KMM', 'T', '10:20', 'AM', '-', '11:20', 'AM', 'SAC502', '1']
['1298.', 'CSE499B/EEE499B/ETE499B', '1', 'KAS', 'R', '10:20', 'AM', '-', '11:20', 'AM', 'SAC502', '15']
['1299.', 'CSE499B/EEE499B/ETE499B', '2', 'Szz', 'T', '11:30', 'AM', '-', '12:30', 'PM', 'SAC502', '11']
['1300.', 'CSE499B/EEE499B/ETE499B', '3', 'NvA', 'M', '10:20', 'AM', '-', '11:20', 'AM', 'SAC502', '19']
['1301.', 'CSE499B/EEE499B/ETE499B', '4', 'Aqu', 'T', '03:00', 'PM', '-', '04:00', 'PM', 'SAC502', '15']
['1302.', 'CSE499B/EEE499B/ETE499B', '5', 'KMM', 'W', '09:10', 'AM', '-', '10:10', 'AM', 'SAC502', '27']
['1303.', 'CSE499B/EEE499B/ETE499B', '6', 'KMM', 'W', '10:20', 'AM', '-', '11:20', 'AM', 'SAC502', '7']
['1304.', 'CSE499B/EEE499B/ETE499B', '7', 'KMM', 'M', '10:20', 'AM', '-', '11:20', 'AM', 'LIB610', '12']
['1305.', 'CSE499B/EEE499B/ETE499B', '8', 'Mdy', 'M', '03:00', 'PM', '-', '04:00', 'PM', 'SAC502', '9']
['1306.', 'CSE499B/EEE499B/ETE499B', '9', 'NbM', 'S', '12:40', 'PM', '-', '01:40', 'PM', 'SAC502', '23']
['1307.', 'CSE499B/EEE499B/ETE499B', '10', 'AzK', 'T', '09:10', 'AM', '-', '10:10', 'AM', 'LIB608', '13']
['1308.', 'CSE499B/EEE499B/ETE499B', '11', 'MSK1', 'M', '04:10', 'PM', '-', '05:10', 'PM', 'LIB608', '23']
['1309.', 'CSE499B/EEE499B/ETE499B', '12', 'RRn', 'M', '04:10', 'PM', '-', '05:10', 'PM', 'SAC502', '15']
['1310.', 'CSE499B/EEE499B/ETE499B', '13', 'NaNr', 'S', '10:20', 'AM', '-', '11:20', 'AM', 'SAC502', '26']
['1311.', 'CSE499B/EEE499B/ETE499B', '14', 'NaNr', 'T', '10:20', 'AM', '-', '11:20', 'AM', 'LIB608', '23']
['1312.', 'CSE499B/EEE499B/ETE499B', '15', 'AbO', 'W', '11:30', 'AM', '-', '12:30', 'PM', 'SAC502', '12']
['1313.', 'CSE499B/EEE499B/ETE499B', '16', 'HSM', 'R', '10:20', 'AM', '-', '11:20', 'AM', 'SAC503', '14']
['1314.', 'CSE512', '1', 'SLf', 'A', '07:00', 'PM', '-', '09:00', 'PM', 'SAC211', '1']
['1315.', 'CSE525/EEE661/ETE536', '1', 'Srb', 'R', '07:00', 'PM', '-', '09:00', 'PM', 'SAC307', '0']
['1316.', 'CSE532/EEE560', '1', 'MAQm', 'S', '07:00', 'PM', '-', '09:00', 'PM', 'SAC307', '1']
['1317.', 'CSE533', '1', 'AzK', 'M', '07:00', 'PM', '-', '09:00', 'PM', 'SAC211', '5']
['1318.', 'CSE543', '1', 'TFSm', 'F', '10:30', 'AM', '-', '12:30', 'PM', 'SAC205', '6']
['1319.', 'CSE543', '2', 'SnS1', 'F', '02:30', 'PM', '-', '04:30', 'PM', 'NAC306', '8']
['1320.', 'CSE596/EEE596/ETE596', '1', 'RRn', 'W', '07:00', 'PM', '-', '09:00', 'PM', 'SAC307', '6']
['1321.', 'CSE429/CSE598', '1', 'NbM', 'T', '07:00', 'PM', '-', '09:00', 'PM', 'SAC307', '0']
['1322.', 'CSE599', '1', 'Azk', 'TBA', 'TBA', '1']
['1323.', 'CSE599', '2', 'NvA', 'TBA', 'TBA', '0']
['1324.', 'DEV502', '1', 'NyS', 'A', '10:20', 'AM', '-', '12:30', 'PM', 'NAC809', '16']
['1325.', 'DEV504', '1', 'SaKn', 'R', '07:00', 'PM', '-', '09:00', 'PM', 'NAC408', '23']
['1326.', 'DEV563', '2', 'SME', 'A', '02:30', 'PM', '-', '04:30', 'PM', 'NAC809', '18']
['1327.', 'DEV573', '1', 'NrA', 'A', '07:00', 'PM', '-', '09:00', 'PM', 'NAC1077', '11']
['1328.', 'DEV576', '2', 'NzM1', 'F', '04:40', 'PM', '-', '06:40', 'PM', 'NAC403', '11']
['1329.', 'DEV592', '1', 'MUK', 'R', '07:00', 'PM', '-', '09:00', 'PM', 'NAC409', '17']
['1330.', 'DEV595', '1', 'AtR', 'TBA', 'TBA', '10']
['1331.', 'DEV595', '2', 'GrG', 'TBA', 'TBA', '10']
['1332.', 'DEV595', '3', 'AAR', 'TBA', 'TBA', '10']
['1333.', 'DEV595', '4', 'HUA', 'TBA', 'TBA', '10']
['1334.', 'DEV595', '5', 'NzM1', 'TBA', 'TBA', '10']
['1335.', 'DEV595', '6', 'NrA', 'TBA', 'TBA', '10']
['1336.', 'DEV595', '7', 'Muf', 'TBA', 'TBA', '5']
['1337.', 'DEV595', '8', 'SBn', 'TBA', 'TBA', '7']
['1338.', 'DEV595', '9', 'MUK', 'TBA', 'TBA', '10']
['1339.', 'DEV595', '10', 'AKP', 'TBA', 'TBA', '10']
['1340.', 'DEV595', '11', 'KNz', 'TBA', 'TBA', '10']
['1341.', 'DEV595', '12', 'SME', 'TBA', 'TBA', '10']
['1342.', 'DEV595', '13', 'TPA', 'TBA', 'TBA', '10']
['1343.', 'DEV595', '14', 'TBA', 'TBA', 'TBA', '9']
['1344.', 'DEV595', '15', 'TBA', 'TBA', 'TBA', '10']
['1345.', 'DEV596', '1', 'AtR', 'TBA', 'TBA', '9']
['1346.', 'DEV596', '2', 'GrG', 'TBA', 'TBA', '10']
['1347.', 'DEV596', '3', 'AAR', 'TBA', 'TBA', '10']
['1348.', 'DEV596', '4', 'HUA', 'TBA', 'TBA', '10']
['1349.', 'DEV596', '5', 'NzM1', 'TBA', 'TBA', '10']
['1350.', 'DEV596', '6', 'NrA', 'TBA', 'TBA', '10']
['1351.', 'DEV596', '7', 'Muf', 'TBA', 'TBA', '6']
['1352.', 'DEV596', '8', 'SBn', 'TBA', 'TBA', '10']
['1353.', 'DEV596', '9', 'MUK', 'TBA', 'TBA', '10']
['1354.', 'DEV596', '10', 'AKP', 'TBA', 'TBA', '10']
['1355.', 'DEV596', '11', 'KNz', 'TBA', 'TBA', '10']
['1356.', 'DEV596', '12', 'SME', 'TBA', 'TBA', '10']
['1357.', 'DEV596', '13', 'TPA', 'TBA', 'TBA', '10']
['1358.', 'DEV596', '14', 'TBA', 'TBA', 'TBA', '10']
['1359.', 'DEV596', '15', 'TBA', 'TBA', 'TBA', '10']
['1360.', 'DEV596', '16', 'TBA', 'TBA', 'TBA', '10']
['1361.', 'DEV596', '17', 'TBA', 'TBA', 'TBA', '10']
['1362.', 'ECO101', '1', 'Mzq', 'RA', '05:20', 'PM', '-', '06:20', 'PM', 'NAC408', '1']
['1363.', 'ECO101', '2', 'RsA', 'ST', '09:10', 'AM', '-', '10:10', 'AM', 'NAC409', '0']
['1364.', 'ECO101', '3', 'Mzq', 'MW', '04:10', 'PM', '-', '05:10', 'PM', 'NAC408', '0']
['1365.', 'ECO101', '4', 'Nnm', 'MW', '08:00', 'AM', '-', '09:00', 'AM', 'NAC511', '0']
['1366.', 'ECO101', '5', 'Stq', 'ST', '08:00', 'AM', '-', '09:00', 'AM', 'NAC408', '0']
['1367.', 'ECO101', '6', 'RfAh', 'RA', '04:10', 'PM', '-', '05:10', 'PM', 'NAC311', '0']
['1368.', 'ECO101', '7', 'TPA', 'ST', '09:10', 'AM', '-', '10:10', 'AM', 'NAC408', '1']
['1369.', 'ECO101', '8', 'AHn', 'MW', '01:50', 'PM', '-', '02:50', 'PM', 'NAC408', '0']
['1370.', 'ECO101', '9', 'SME', 'MW', '10:20', 'AM', '-', '11:20', 'AM', 'NAC307', '1']
['1371.', 'ECO101', '10', 'HHn', 'ST', '10:20', 'AM', '-', '11:20', 'AM', 'NAC605', '0']
['1372.', 'ECO101', '11', 'ABA', 'MW', '08:00', 'AM', '-', '09:00', 'AM', 'NAC408', '0']
['1373.', 'ECO101', '12', 'KNz', 'MW', '09:10', 'AM', '-', '10:10', 'AM', 'NAC415', '0']
['1374.', 'ECO101', '13', 'Mzq', 'RA', '03:00', 'PM', '-', '04:00', 'PM', 'NAC409', '0']
['1375.', 'ECO101', '14', 'HHn', 'ST', '01:50', 'PM', '-', '02:50', 'PM', 'NAC509', '0']
['1376.', 'ECO101', '15', 'AAR', 'RA', '10:20', 'AM', '-', '11:20', 'AM', 'NAC408', '3']
['1377.', 'ECO101', '16', 'Niq', 'ST', '08:00', 'AM', '-', '09:00', 'AM', 'NAC307', '0']
['1378.', 'ECO101', '17', 'Abt', 'ST', '08:00', 'AM', '-', '09:00', 'AM', 'NAC409', '0']
['1379.', 'ECO101', '18', 'RsA', 'ST', '10:20', 'AM', '-', '11:20', 'AM', 'NAC619A', '0']
['1380.', 'ECO101', '19', 'Stq', 'ST', '10:20', 'AM', '-', '11:20', 'AM', 'NAC508', '0']
['1381.', 'ECO101', '20', 'Muf', 'MW', '12:40', 'PM', '-', '01:40', 'PM', 'NAC408', '0']
['1382.', 'ECO101', '21', 'KNz', 'ST', '10:20', 'AM', '-', '11:20', 'AM', 'NAC509', '0']
['1383.', 'ECO101', '22', 'AAR', 'RA', '11:30', 'AM', '-', '12:30', 'PM', 'NAC408', '1']
['1384.', 'ECO101', '23', 'Stq', 'ST', '09:10', 'AM', '-', '10:10', 'AM', 'NAC307', '0']
['1385.', 'ECO101', '24', 'AHn', 'MW', '03:00', 'PM', '-', '04:00', 'PM', 'NAC408', '1']
['1386.', 'ECO101', '25', 'CNq', 'ST', '08:00', 'AM', '-', '09:00', 'AM', 'NAC509', '0']
['1387.', 'ECO101', '26', 'AMi', 'ST', '10:20', 'AM', '-', '11:20', 'AM', 'NAC619', '1']
['1388.', 'ECO101', '27', 'KNz', 'ST', '11:30', 'AM', '-', '12:30', 'PM', 'NAC605', '0']
['1389.', 'ECO101', '28', 'MUK', 'MW', '09:10', 'AM', '-', '10:10', 'AM', 'NAC408', '1']
['1390.', 'ECO101', '29', 'Abt', 'ST', '09:10', 'AM', '-', '10:10', 'AM', 'NAC301', '0']
