	Course	Section	Faculty	Time	Room	Seats Available	
['54.', 'ACT202', '14', 'Rby', 'ST', '01:50', 'PM', '-', '02:50', 'PM', 'NAC314', '0']
['55.', 'ACT202', '15', 'RMH1', 'MW', '09:10', 'AM', '-', '10:10', 'AM', 'NAC313', '1']
['56.', 'ACT202', '16', 'RMH1', 'ST', '08:00', 'AM', '-', '09:00', 'AM', 'NAC313', '0']
['57.', 'ACT202', '17', 'RMH1', 'ST', '09:10', 'AM', '-', '10:10', 'AM', 'NAC313', '0']
['58.', 'ACT202', '18', 'SHA1', 'MW', '01:50', 'PM', '-', '02:50', 'PM', 'NAC313', '0']
['59.', 'ACT202', '19', 'SHA1', 'ST', '04:10', 'PM', '-', '05:10', 'PM', 'NAC314', '0']
['60.', 'ACT202', '20', 'RMH1', 'ST', '12:40', 'PM', '-', '01:40', 'PM', 'NAC313', '0']
['61.', 'ACT202', '21', 'Sys', 'MW', '01:50', 'PM', '-', '02:50', 'PM', 'NAC314', '0']
['62.', 'ACT202', '22', 'Sys', 'MW', '10:20', 'AM', '-', '11:20', 'AM', 'NAC201', '0']
['63.', 'ACT202', '23', 'TsA', 'ST', '10:20', 'AM', '-', '11:20', 'AM', 'NAC314', '0']
['64.', 'ACT202', '24', 'KHM', 'RA', '11:30', 'AM', '-', '12:30', 'PM', 'NAC313', '0']
['65.', 'ACT202', '25', 'MEF', 'RA', '08:00', 'AM', '-', '09:00', 'AM', 'NAC210', '1']
['66.', 'ACT202', '26', 'MEF', 'RA', '09:10', 'AM', '-', '10:10', 'AM', 'NAC313', '2']
['67.', 'ACT202', '27', 'IAC', 'ST', '12:40', 'PM', '-', '01:40', 'PM', 'NAC507', '2']
['68.', 'ACT202', '28', 'AhU', 'ST', '05:20', 'PM', '-', '06:20', 'PM', 'NAC313', '0']
['69.', 'ACT202', '29', 'MTMD', 'ST', '05:20', 'PM', '-', '06:20', 'PM', 'NAC314', '1']
['70.', 'ACT202', '30', 'KSR', 'RA', '10:20', 'AM', '-', '11:20', 'AM', 'NAC402', '0']
['71.', 'ACT310', '1', 'MGR', 'ST', '09:10', 'AM', '-', '10:10', 'AM', 'NAC314', '8']
['72.', 'ACT310', '2', 'NNh', 'ST', '01:50', 'PM', '-', '02:50', 'PM', 'NAC315', '0']
['73.', 'ACT310', '3', 'Rby', 'MW', '10:20', 'AM', '-', '11:20', 'AM', 'NAC210', '9']
['74.', 'ACT320', '1', 'MGR', 'MW', '10:20', 'AM', '-', '11:20', 'AM', 'NAC313', '0']
['75.', 'ACT320', '2', 'RMH1', 'MW', '08:00', 'AM', '-', '09:00', 'AM', 'NAC210', '14']
['76.', 'ACT360', '1', 'BFK', 'RA', '03:00', 'PM', '-', '04:00', 'PM', 'NAC314', '9']
['77.', 'ACT360', '2', 'Rby', 'ST', '03:00', 'PM', '-', '04:00', 'PM', 'NAC313', '0']
['78.', 'ACT370', '1', 'RMH1', 'ST', '11:30', 'AM', '-', '12:30', 'PM', 'NAC315', '0']
['79.', 'ACT370', '2', 'KSR', 'RA', '12:40', 'PM', '-', '01:40', 'PM', 'NAC216', '19']
['80.', 'ACT380', '1', 'FJM', 'MW', '03:00', 'PM', '-', '04:00', 'PM', 'NAC313', '3']
['81.', 'ACT410', '1', 'AhU', 'RA', '11:30', 'AM', '-', '12:30', 'PM', 'NAC314', '1']
['82.', 'ACT430', '1', 'AhU', 'RA', '12:40', 'PM', '-', '01:40', 'PM', 'NAC313', '6']
['83.', 'ACT460', '1', 'MGR', 'MW', '09:10', 'AM', '-', '10:10', 'AM', 'NAC314', '13']
['84.', 'ANT101', '1', 'BSq', 'ST', '10:20', 'AM', '-', '11:20', 'AM', 'NAC601', '0']
['85.', 'ANT101', '2', 'MHR3', 'MW', '04:10', 'PM', '-', '05:10', 'PM', 'NAC602', '0']
['86.', 'ANT101', '3', 'TZf', 'MW', '03:00', 'PM', '-', '04:00', 'PM', 'NAC1080', '0']
['87.', 'ANT101', '4', 'RSP', 'RA', '01:50', 'PM', '-', '02:50', 'PM', 'NAC1080', '0']
['88.', 'ANT101', '5', 'RSP', 'RA', '04:10', 'PM', '-', '05:10', 'PM', 'NAC1080', '1']
['89.', 'ANT101', '6', 'RSP', 'RA', '05:20', 'PM', '-', '06:20', 'PM', 'NAC1080', '1']
['90.', 'ANT101', '7', 'RSN', 'ST', '12:40', 'PM', '-', '01:40', 'PM', 'NAC504', '0']
['91.', 'ANT101', '8', 'RSN', 'ST', '05:20', 'PM', '-', '06:20', 'PM', 'NAC1078', '0']
['92.', 'ANT101', '9', 'AsKn', 'RA', '08:00', 'AM', '-', '09:00', 'AM', 'NAC1078', '2']
['93.', 'ANT101', '10', 'AsKn', 'RA', '03:00', 'PM', '-', '04:00', 'PM', 'NAC601', '0']
['94.', 'ANT101', '11', 'AsKn', 'RA', '05:20', 'PM', '-', '06:20', 'PM', 'NAC1078', '0']
['95.', 'ARC111', '1', 'ALB', 'STR', '09:10', 'AM', '-', '11:20', 'AM', 'OAT803', '2']
['96.', 'ARC111', '2', 'TkH', 'STR', '09:10', 'AM', '-', '11:20', 'AM', 'OAT803_V', '0']
